"","x"
"1",119.44
"2",114.46
"3",112.38
"4",111.77
"5",112.19
"6",116.6
"7",112.94
"8",116.03
"9",124.17
"10",112.78
"11",114.25
"12",113.56
"13",117.89
"14",120.17
"15",115.13
"16",109.78
"17",115.82
"18",121.03
"19",111.11
"20",149.63
"21",111.74
"22",122.4
"23",121.28
"24",118.14
"25",112.8
"26",111.41
"27",123.17
"28",114.83
"29",115.6
"30",127.06
"31",125.26
"32",117.6
"33",113.75
"34",110.42
"35",125.76
"36",112.27
"37",114.5
"38",109.74
"39",119.39
"40",111.83
"41",119.78
"42",115.19
"43",114.63
"44",111.32
"45",110.97
"46",107.45
"47",113.98
"48",119.2
"49",118.85
"50",114.58
"51",118.38
"52",136.56
"53",119.94
"54",116.42
"55",120.94
"56",110.95
"57",127.42
"58",117.26
"59",112.12
"60",120.81
"61",114.11
"62",123.09
"63",119.48
"64",109.11
"65",105.7
"66",140.31
"67",113.58
"68",122.87
"69",109.18
"70",120.86
"71",137.32
"72",116.36
"73",116.65
"74",119.47
"75",110.16
"76",118.87
"77",108.8
"78",110.84
"79",128.8
"80",116.13
"81",116.68
"82",118.44
"83",111.91
"84",112.53
"85",111.34
"86",113.65
"87",112.36
"88",112.49
"89",110.44
"90",111.58
"91",121.65
"92",113.1
"93",117.85
"94",123.34
