"","x"
"1",76.26
"2",80.62
"3",78.02
"4",76.01
"5",79
"6",84.15
"7",79.03
"8",73.7
"9",79.09
"10",77.36
"11",76.64
"12",76.59
"13",74
"14",74.28
"15",73.34
"16",77.14
"17",77.31
"18",77.69
"19",78.25
"20",79.99
"21",80.01
"22",75.86
"23",73.4
"24",74.53
"25",76.81
"26",74.2
"27",77.42
"28",79.81
"29",78.19
"30",82.2
"31",76.27
"32",78.4
"33",82.24
"34",76.99
"35",83.42
"36",78.5
"37",78.47
"38",89.65
"39",89.06
"40",76.22
"41",87.31
"42",79.22
"43",74.54
"44",73.59
"45",89.19
"46",83.98
"47",87.95
"48",78.45
"49",76.86
"50",76.64
"51",76.18
"52",77.42
"53",75.26
"54",75.79
"55",78.01
"56",80.53
"57",73.15
"58",74.1
"59",76.96
"60",75.82
"61",73.45
"62",76.8
"63",81.08
"64",75.89
"65",77.86
"66",75.51
"67",72.11
"68",82.21
"69",78.22
"70",81.96
"71",77.62
"72",80.34
"73",78.95
"74",77.45
"75",74.35
"76",72.94
"77",72.5
"78",74.86
"79",78.47
"80",74.77
"81",73.89
"82",74.2
"83",77.64
"84",81.07
"85",80.2
"86",77.16
"87",75.42
"88",88.75
"89",76.78
"90",75.73
"91",75.05
"92",84.2
"93",73.79
"94",78.88
"95",80.44
"96",78.91
"97",89.73
"98",86.19
"99",104.65
"100",76.1
"101",76.33
"102",85.94
"103",81.18
"104",80.29
"105",74.43
"106",74.87
"107",76.84
"108",91.74
"109",77.06
"110",76.16
"111",74.66
"112",76.38
"113",74.76
"114",78.71
"115",78.71
"116",79.97
"117",75.88
"118",84.27
"119",73.71
"120",86.16
"121",77.47
"122",75.41
"123",75.65
"124",76.22
"125",74.5
"126",73.02
"127",77.38
"128",74.99
"129",75.1
"130",74.79
"131",83.09
"132",81.06
"133",78.63
"134",84.39
"135",75.9
"136",73.52
"137",73.53
"138",77.25
"139",75.59
"140",80.82
"141",74.22
"142",75.71
"143",74.27
"144",79.81
"145",77.68
"146",74.99
"147",73.74
"148",75.85
"149",98.81
"150",77.23
"151",76.56
"152",75.19
"153",74.87
"154",73.24
"155",76.32
"156",73.83
"157",74.17
"158",75.54
"159",75.86
"160",84.86
"161",77.5
"162",75.38
"163",75.41
"164",78.1
"165",77.41
"166",75.39
"167",73.36
"168",77.11
"169",73.76
"170",75.86
"171",74.62
"172",74.08
"173",76.64
"174",77.77
"175",74.75
"176",82.44
"177",75.9
"178",73.25
"179",77.38
"180",82.79
"181",76.44
